symbol,name,sector,market_cap_b
AAPL,Apple Inc.,Technology,3300
MSFT,Microsoft Corp.,Technology,3100
NVDA,NVIDIA Corp.,Technology,3000
GOOGL,Alphabet Inc.,Communication Services,2100
AMZN,Amazon.com Inc.,Consumer Cyclical,2000
META,Meta Platforms Inc.,Communication Services,1300
AVGO,Broadcom Inc.,Technology,800
TSLA,Tesla Inc.,Consumer Cyclical,780
BRK-B,Berkshire Hathaway Inc.,Financial Services,920
JPM,JPMorgan Chase & Co.,Financial Services,650
WMT,Walmart Inc.,Consumer Defensive,580
LLY,Eli Lilly and Co.,Healthcare,720
V,Visa Inc.,Financial Services,560
MA,Mastercard Inc.,Financial Services,440
ORCL,Oracle Corp.,Technology,400
UNH,UnitedHealth Group Inc.,Healthcare,470
XOM,Exxon Mobil Corp.,Energy,520
COST,Costco Wholesale Corp.,Consumer Defensive,400
HD,Home Depot Inc.,Consumer Cyclical,400
PG,Procter & Gamble Co.,Consumer Defensive,390
JNJ,Johnson & Johnson,Healthcare,360
NFLX,Netflix Inc.,Communication Services,380
BAC,Bank of America Corp.,Financial Services,330
ABBV,AbbVie Inc.,Healthcare,330
CRM,Salesforce Inc.,Technology,300
CVX,Chevron Corp.,Energy,290
KO,Coca-Cola Co.,Consumer Defensive,290
AMD,Advanced Micro Devices Inc.,Technology,260
PEP,PepsiCo Inc.,Consumer Defensive,230
TMO,Thermo Fisher Scientific Inc.,Healthcare,210
LIN,Linde plc,Basic Materials,220
ADBE,Adobe Inc.,Technology,200
WFC,Wells Fargo & Co.,Financial Services,240
MCD,McDonald's Corp.,Consumer Cyclical,210
CSCO,Cisco Systems Inc.,Technology,230
ACN,Accenture plc,Technology,210
ABT,Abbott Laboratories,Healthcare,200
GE,GE Aerospace,Industrials,200
DHR,Danaher Corp.,Healthcare,180
INTU,Intuit Inc.,Technology,180
QCOM,Qualcomm Inc.,Technology,180
TXN,Texas Instruments Inc.,Technology,180
IBM,International Business Machines,Technology,200
AMGN,Amgen Inc.,Healthcare,150
PM,Philip Morris International,Consumer Defensive,180
NOW,ServiceNow Inc.,Technology,200
CAT,Caterpillar Inc.,Industrials,170
VZ,Verizon Communications Inc.,Communication Services,180
GS,Goldman Sachs Group Inc.,Financial Services,160
INTC,Intel Corp.,Technology,130
DIS,Walt Disney Co.,Communication Services,170
